sentences,sim_features
Isaiah Thomas put up 23 points and 8 rebounds in 24 minutes off the bench . ,"{""STARTER"": 0, ""PTS"": 23, ""FGM"": 6, ""FGA"": 9, ""FG_PCT"": 67, ""FG3M"": 2, ""FG3A"": 2, ""FG3_PCT"": 100, ""FTM"": 9, ""FTA"": 9, ""FT_PCT"": 100, ""OREB"": 2, ""DREB"": 1, ""REB"": 3, ""AST"": 8, ""TO"": 0, ""STL"": 3, ""BLK"": 0, ""PF"": 4, ""MIN"": 24, ""IS_HOME"": 0, ""DOUBLE_DOUBLE"": 0, ""IS_LEADER"": 1}"
"McDaniels scored a career - high 17 points in 28 minutes , and the fact that McDaniels played so many minutes after commenting to the media that McDaniels is frustrated with McDaniels playing time indicates that the team did n't take much offense to McDaniels comments . ","{""STARTER"": 0, ""PTS"": 17, ""FGM"": 5, ""FGA"": 12, ""FG_PCT"": 42, ""FG3M"": 1, ""FG3A"": 4, ""FG3_PCT"": 25, ""FTM"": 6, ""FTA"": 6, ""FT_PCT"": 100, ""OREB"": 1, ""DREB"": 2, ""REB"": 3, ""AST"": 0, ""TO"": 0, ""STL"": 2, ""BLK"": 0, ""PF"": 2, ""MIN"": 28, ""IS_HOME"": 0, ""DOUBLE_DOUBLE"": 0, ""IS_LEADER"": 0}"
"LaMarcus Aldridge went off for 33 points ( 13 - 20 FG , 1 - 1 3Pt , 6 - 7 FT ) and 11 rebounds , giving LaMarcus Aldridge LaMarcus Aldridge 2 straight double - double and 5 on the year . ","{""STARTER"": 0, ""PTS"": 33, ""FGM"": 13, ""FGA"": 20, ""FG_PCT"": 65, ""FG3M"": 1, ""FG3A"": 1, ""FG3_PCT"": 100, ""FTM"": 6, ""FTA"": 7, ""FT_PCT"": 86, ""OREB"": 6, ""DREB"": 5, ""REB"": 11, ""AST"": 3, ""TO"": 0, ""STL"": 0, ""BLK"": 0, ""PF"": 1, ""MIN"": 34, ""IS_HOME"": 0, ""DOUBLE_DOUBLE"": 0, ""IS_LEADER"": 1}"
"Fellow superstar Damian Lillard shot 6 - for - 11 from the field and 1 - for - 4 from the 3 - point line to score 16 points , while also grabbing 5 rebounds and handing out 4 assists . ","{""STARTER"": 0, ""PTS"": 16, ""FGM"": 6, ""FGA"": 11, ""FG_PCT"": 55, ""FG3M"": 1, ""FG3A"": 4, ""FG3_PCT"": 25, ""FTM"": 3, ""FTA"": 3, ""FT_PCT"": 100, ""OREB"": 1, ""DREB"": 4, ""REB"": 5, ""AST"": 4, ""TO"": 0, ""STL"": 2, ""BLK"": 0, ""PF"": 3, ""MIN"": 37, ""IS_HOME"": 0, ""DOUBLE_DOUBLE"": 0, ""IS_LEADER"": 0}"
Fellow superstar Damian Lillard 's now averaging 20 points and 7 assists on the year . ,"{""STARTER"": 0, ""PTS"": 16, ""FGM"": 6, ""FGA"": 11, ""FG_PCT"": 55, ""FG3M"": 1, ""FG3A"": 4, ""FG3_PCT"": 25, ""FTM"": 3, ""FTA"": 3, ""FT_PCT"": 100, ""OREB"": 1, ""DREB"": 4, ""REB"": 5, ""AST"": 4, ""TO"": 0, ""STL"": 2, ""BLK"": 0, ""PF"": 3, ""MIN"": 37, ""IS_HOME"": 0, ""DOUBLE_DOUBLE"": 0, ""IS_LEADER"": 0}"
"The only other Trail_Blazers to reach double figures in scoring was Robin Lopez , who had 12 points and 8 rebounds . ","{""STARTER"": 0, ""PTS"": 12, ""FGM"": 4, ""FGA"": 8, ""FG_PCT"": 50, ""FG3M"": 0, ""FG3A"": 0, ""FG3_PCT"": 0, ""FTM"": 4, ""FTA"": 4, ""FT_PCT"": 100, ""OREB"": 4, ""DREB"": 4, ""REB"": 8, ""AST"": 3, ""TO"": 0, ""STL"": 0, ""BLK"": 4, ""PF"": 4, ""MIN"": 29, ""IS_HOME"": 0, ""DOUBLE_DOUBLE"": 0, ""IS_LEADER"": 0}"
"Coming off the bench , Nerlens Noel had 12 points and 5 rebounds . ","{""STARTER"": 0, ""PTS"": 12, ""FGM"": 6, ""FGA"": 7, ""FG_PCT"": 86, ""FG3M"": 0, ""FG3A"": 0, ""FG3_PCT"": 0, ""FTM"": 0, ""FTA"": 0, ""FT_PCT"": 0, ""OREB"": 1, ""DREB"": 4, ""REB"": 5, ""AST"": 3, ""TO"": 0, ""STL"": 3, ""BLK"": 2, ""PF"": 3, ""MIN"": 33, ""IS_HOME"": 0, ""DOUBLE_DOUBLE"": 0, ""IS_LEADER"": 0}"
"In just coach Scott Brooks 2 game back , Kevin Durant struggled , finishing with 10 points on 3 - of - 11 shooting to go with 6 rebounds and 3 assists in 29 minutes . ","{""STARTER"": 0, ""PTS"": 10, ""FGM"": 3, ""FGA"": 11, ""FG_PCT"": 27, ""FG3M"": 1, ""FG3A"": 2, ""FG3_PCT"": 50, ""FTM"": 3, ""FTA"": 4, ""FT_PCT"": 75, ""OREB"": 0, ""DREB"": 6, ""REB"": 6, ""AST"": 3, ""TO"": 0, ""STL"": 0, ""BLK"": 1, ""PF"": 1, ""MIN"": 29, ""IS_HOME"": 0, ""DOUBLE_DOUBLE"": 0, ""IS_LEADER"": 0}"
"Robert Covington led the way with 21 points ( 8 - 13 FG ) off the bench , and K.J . ","{""STARTER"": 0, ""PTS"": 21, ""FGM"": 8, ""FGA"": 13, ""FG_PCT"": 62, ""FG3M"": 3, ""FG3A"": 6, ""FG3_PCT"": 50, ""FTM"": 2, ""FTA"": 2, ""FT_PCT"": 100, ""OREB"": 3, ""DREB"": 3, ""REB"": 6, ""AST"": 2, ""TO"": 0, ""STL"": 1, ""BLK"": 0, ""PF"": 2, ""MIN"": 28, ""IS_HOME"": 0, ""DOUBLE_DOUBLE"": 0, ""IS_LEADER"": 1}"
McDaniels added 11 points . ,"{""STARTER"": 0, ""PTS"": 11, ""FGM"": 3, ""FGA"": 9, ""FG_PCT"": 33, ""FG3M"": 1, ""FG3A"": 5, ""FG3_PCT"": 20, ""FTM"": 4, ""FTA"": 6, ""FT_PCT"": 67, ""OREB"": 2, ""DREB"": 3, ""REB"": 5, ""AST"": 3, ""TO"": 0, ""STL"": 1, ""BLK"": 0, ""PF"": 2, ""MIN"": 33, ""IS_HOME"": 0, ""DOUBLE_DOUBLE"": 0, ""IS_LEADER"": 0}"
