templates,used_attributes
FIRST_NAME SECOND_NAME put up PTS points and AST rebounds in MIN minutes off the bench . ,"['FIRST_NAME', 'SECOND_NAME', 'PTS', 'AST', 'MIN']"
"SECOND_NAME scored a career - high PTS points in MIN minutes , and the fact that SECOND_NAME played so many minutes after commenting to the media that SECOND_NAME is frustrated with SECOND_NAME playing time indicates that the team did n't take much offense to SECOND_NAME comments . ","['SECOND_NAME', 'PTS', 'MIN', 'SECOND_NAME', 'SECOND_NAME', 'SECOND_NAME', 'SECOND_NAME']"
"FIRST_NAME SECOND_NAME went off for PTS points ( FGM - FGA FG , IS_LEADER - IS_LEADER 3Pt , OREB - FTA FT ) and REB rebounds , giving FIRST_NAME SECOND_NAME FIRST_NAME SECOND_NAME AST_AVG straight double - double and DD_AVG on the year . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGM', 'FGA', 'FG3M', 'FG3A', 'PF', 'BLK_AVG', 'IS_LEADER', 'FG3M', 'FG3A', 'PF', 'BLK_AVG', 'IS_LEADER', 'FTM', 'OREB', 'FTA', 'REB', 'FIRST_NAME', 'SECOND_NAME', 'FIRST_NAME', 'SECOND_NAME', 'AST_AVG', 'DREB', 'DD_AVG']"
"Fellow superstar FIRST_NAME SECOND_NAME shot AST_AVG - for - FGA from the field and STL_AVG - for - AST from the PF - point line to score PTS points , while also grabbing REB_AVG rebounds and handing out AST assists . ","['FIRST_NAME', 'SECOND_NAME', 'FGM', 'AST_AVG', 'FGA', 'FG3M', 'OREB', 'STL_AVG', 'FG3A', 'DREB', 'AST', 'FTM', 'FTA', 'PF', 'PTS', 'REB', 'REB_AVG', 'FG3A', 'DREB', 'AST']"
Fellow superstar FIRST_NAME SECOND_NAME 's now averaging 20 points and 7 assists on the year . ,"['FIRST_NAME', 'SECOND_NAME']"
"The only other Blazer to reach double figures in scoring was FIRST_NAME SECOND_NAME , who had PTS points and REB rebounds . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGA', 'REB']"
"the PLAYER-TEAM-NAME were led by FIRST_NAME SECOND_NAME , who scored a season - high FGA points , while also grabbing PTS_AVG rebounds . ","['PLAYER-TEAM-NAME', 'FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGA', 'REB', 'PTS_AVG']"
"Coming off the bench , FIRST_NAME SECOND_NAME had PTS points and REB_AVG rebounds . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'REB', 'REB_AVG']"
"FIRST_NAME SECOND_NAME led the way with PTS points ( FGM - FGA FG ) off the bench , and K.J . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGM', 'FGA']"
"Four PLAYER-TEAM-NAME ’ starters finished in double - figures , with FIRST_NAME SECOND_NAME ’ PTS points and AST rebounds setting the pace . ","['PLAYER-TEAM-NAME', 'FIRST_NAME', 'SECOND_NAME', 'PTS', 'AST']"
