sentences,sim_features
The Phoenix Suns ( 8 - 5 ) defeated the Philadelphia 76ers ( 0 - 12 ) 122 - 96 on Friday . ,"{""HOME-TEAM-PTS_QTR1"": 27, ""VIS-TEAM-PTS_QTR1"": 26, ""HOME-TEAM-PTS_QTR2"": 17, ""VIS-TEAM-PTS_QTR2"": 41, ""HOME-TEAM-PTS_QTR3"": 23, ""VIS-TEAM-PTS_QTR3"": 25, ""HOME-TEAM-PTS_QTR4"": 29, ""VIS-TEAM-PTS_QTR4"": 30, ""HOME-TEAM-PTS"": 96, ""VIS-TEAM-PTS"": 122, ""HOME-TEAM-FGM"": 36, ""VIS-TEAM-FGM"": 44, ""HOME-TEAM-FGA"": 78, ""VIS-TEAM-FGA"": 86, ""HOME-TEAM-FG_PCT"": 46, ""VIS-TEAM-FG_PCT"": 51, ""HOME-TEAM-FG3M"": 4, ""VIS-TEAM-FG3M"": 13, ""HOME-TEAM-FG3A"": 23, ""VIS-TEAM-FG3A"": 31, ""HOME-TEAM-FG3_PCT"": 17, ""VIS-TEAM-FG3_PCT"": 42, ""HOME-TEAM-FTM"": 20, ""VIS-TEAM-FTM"": 21, ""HOME-TEAM-FTA"": 33, ""VIS-TEAM-FTA"": 23, ""HOME-TEAM-FT_PCT"": 61, ""VIS-TEAM-FT_PCT"": 91, ""HOME-TEAM-REB"": 39, ""VIS-TEAM-REB"": 46, ""HOME-TEAM-AST"": 18, ""VIS-TEAM-AST"": 24, ""HOME-TEAM-TOV"": 17, ""VIS-TEAM-TOV"": 13, ""HOME-TEAM-WINS"": 0, ""VIS-TEAM-WINS"": 8, ""HOME-TEAM-LOSSES"": 12, ""VIS-TEAM-LOSSES"": 5, ""HOME-WINNER"": 1, ""VIS-WINNER"": 0, ""HOME-TEAM-STANDING"": 15, ""VIS-TEAM-STANDING"": 8, ""HOME-STREAK-TYPE"": 1, ""VIS-STREAK-TYPE"": 0, ""HOME-STREAK-COUNT"": 0, ""VIS-STREAK-COUNT"": 0}"
Isaiah Thomas paced The Phoenix Suns ( 8 - 5 ) The Phoenix Suns ( 8 - 5 ) on Friday . ,"{""HOME-TEAM-PTS_QTR1"": 27, ""VIS-TEAM-PTS_QTR1"": 26, ""HOME-TEAM-PTS_QTR2"": 17, ""VIS-TEAM-PTS_QTR2"": 41, ""HOME-TEAM-PTS_QTR3"": 23, ""VIS-TEAM-PTS_QTR3"": 25, ""HOME-TEAM-PTS_QTR4"": 29, ""VIS-TEAM-PTS_QTR4"": 30, ""HOME-TEAM-PTS"": 96, ""VIS-TEAM-PTS"": 122, ""HOME-TEAM-FGM"": 36, ""VIS-TEAM-FGM"": 44, ""HOME-TEAM-FGA"": 78, ""VIS-TEAM-FGA"": 86, ""HOME-TEAM-FG_PCT"": 46, ""VIS-TEAM-FG_PCT"": 51, ""HOME-TEAM-FG3M"": 4, ""VIS-TEAM-FG3M"": 13, ""HOME-TEAM-FG3A"": 23, ""VIS-TEAM-FG3A"": 31, ""HOME-TEAM-FG3_PCT"": 17, ""VIS-TEAM-FG3_PCT"": 42, ""HOME-TEAM-FTM"": 20, ""VIS-TEAM-FTM"": 21, ""HOME-TEAM-FTA"": 33, ""VIS-TEAM-FTA"": 23, ""HOME-TEAM-FT_PCT"": 61, ""VIS-TEAM-FT_PCT"": 91, ""HOME-TEAM-REB"": 39, ""VIS-TEAM-REB"": 46, ""HOME-TEAM-AST"": 18, ""VIS-TEAM-AST"": 24, ""HOME-TEAM-TOV"": 17, ""VIS-TEAM-TOV"": 13, ""HOME-TEAM-WINS"": 0, ""VIS-TEAM-WINS"": 8, ""HOME-TEAM-LOSSES"": 12, ""VIS-TEAM-LOSSES"": 5, ""HOME-WINNER"": 1, ""VIS-WINNER"": 0, ""HOME-TEAM-STANDING"": 15, ""VIS-TEAM-STANDING"": 8, ""HOME-STREAK-TYPE"": 1, ""VIS-STREAK-TYPE"": 0, ""HOME-STREAK-COUNT"": 0, ""VIS-STREAK-COUNT"": 0}"
The Portland Trail_Blazers ( 11 - 3 ) defeated the Philadelphia 76ers ( 0 - 14 ) 114 - 104 on Monday at the Wells_Fargo_Center in Philadelphia . ,"{""HOME-TEAM-PTS_QTR1"": 20, ""VIS-TEAM-PTS_QTR1"": 24, ""HOME-TEAM-PTS_QTR2"": 32, ""VIS-TEAM-PTS_QTR2"": 26, ""HOME-TEAM-PTS_QTR3"": 28, ""VIS-TEAM-PTS_QTR3"": 39, ""HOME-TEAM-PTS_QTR4"": 24, ""VIS-TEAM-PTS_QTR4"": 25, ""HOME-TEAM-PTS"": 104, ""VIS-TEAM-PTS"": 114, ""HOME-TEAM-FGM"": 42, ""VIS-TEAM-FGM"": 44, ""HOME-TEAM-FGA"": 84, ""VIS-TEAM-FGA"": 89, ""HOME-TEAM-FG_PCT"": 50, ""VIS-TEAM-FG_PCT"": 49, ""HOME-TEAM-FG3M"": 0, ""VIS-TEAM-FG3M"": 7, ""HOME-TEAM-FG3A"": 8, ""VIS-TEAM-FG3A"": 27, ""HOME-TEAM-FG3_PCT"": 0, ""VIS-TEAM-FG3_PCT"": 26, ""HOME-TEAM-FTM"": 20, ""VIS-TEAM-FTM"": 19, ""HOME-TEAM-FTA"": 24, ""VIS-TEAM-FTA"": 23, ""HOME-TEAM-FT_PCT"": 83, ""VIS-TEAM-FT_PCT"": 83, ""HOME-TEAM-REB"": 29, ""VIS-TEAM-REB"": 52, ""HOME-TEAM-AST"": 28, ""VIS-TEAM-AST"": 30, ""HOME-TEAM-TOV"": 10, ""VIS-TEAM-TOV"": 15, ""HOME-TEAM-WINS"": 0, ""VIS-TEAM-WINS"": 11, ""HOME-TEAM-LOSSES"": 14, ""VIS-TEAM-LOSSES"": 3, ""HOME-WINNER"": 0, ""VIS-WINNER"": 1, ""HOME-TEAM-STANDING"": 15, ""VIS-TEAM-STANDING"": 4, ""HOME-STREAK-TYPE"": 0, ""VIS-STREAK-TYPE"": 1, ""HOME-STREAK-COUNT"": 0, ""VIS-STREAK-COUNT"": 0}"
The Thunder knocked off the 76ers ( 1 - 18 ) 103 - 91 in Philadelphia on Friday night . ,"{""HOME-TEAM-PTS_QTR1"": 24, ""VIS-TEAM-PTS_QTR1"": 31, ""HOME-TEAM-PTS_QTR2"": 23, ""VIS-TEAM-PTS_QTR2"": 26, ""HOME-TEAM-PTS_QTR3"": 20, ""VIS-TEAM-PTS_QTR3"": 25, ""HOME-TEAM-PTS_QTR4"": 24, ""VIS-TEAM-PTS_QTR4"": 21, ""HOME-TEAM-PTS"": 91, ""VIS-TEAM-PTS"": 103, ""HOME-TEAM-FGM"": 32, ""VIS-TEAM-FGM"": 35, ""HOME-TEAM-FGA"": 84, ""VIS-TEAM-FGA"": 71, ""HOME-TEAM-FG_PCT"": 38, ""VIS-TEAM-FG_PCT"": 49, ""HOME-TEAM-FG3M"": 8, ""VIS-TEAM-FG3M"": 9, ""HOME-TEAM-FG3A"": 28, ""VIS-TEAM-FG3A"": 23, ""HOME-TEAM-FG3_PCT"": 29, ""VIS-TEAM-FG3_PCT"": 39, ""HOME-TEAM-FTM"": 19, ""VIS-TEAM-FTM"": 24, ""HOME-TEAM-FTA"": 30, ""VIS-TEAM-FTA"": 31, ""HOME-TEAM-FT_PCT"": 63, ""VIS-TEAM-FT_PCT"": 77, ""HOME-TEAM-REB"": 44, ""VIS-TEAM-REB"": 40, ""HOME-TEAM-AST"": 25, ""VIS-TEAM-AST"": 27, ""HOME-TEAM-TOV"": 17, ""VIS-TEAM-TOV"": 16, ""HOME-TEAM-WINS"": 1, ""VIS-TEAM-WINS"": 6, ""HOME-TEAM-LOSSES"": 18, ""VIS-TEAM-LOSSES"": 13, ""HOME-WINNER"": 1, ""VIS-WINNER"": 0, ""HOME-TEAM-STANDING"": 15, ""VIS-TEAM-STANDING"": 12, ""HOME-STREAK-TYPE"": 1, ""VIS-STREAK-TYPE"": 0, ""HOME-STREAK-COUNT"": 1, ""VIS-STREAK-COUNT"": 2}"
The New_York Knicks ( 7 - 36 ) defeated the Philadelphia 76ers ( 8 - 34 ) 98 - 91 on Wednesday at the Wells_Fargo_Center in Philadelphia . ,"{""HOME-TEAM-PTS_QTR1"": 18, ""VIS-TEAM-PTS_QTR1"": 18, ""HOME-TEAM-PTS_QTR2"": 24, ""VIS-TEAM-PTS_QTR2"": 31, ""HOME-TEAM-PTS_QTR3"": 20, ""VIS-TEAM-PTS_QTR3"": 25, ""HOME-TEAM-PTS_QTR4"": 29, ""VIS-TEAM-PTS_QTR4"": 24, ""HOME-TEAM-PTS"": 91, ""VIS-TEAM-PTS"": 98, ""HOME-TEAM-FGM"": 29, ""VIS-TEAM-FGM"": 37, ""HOME-TEAM-FGA"": 79, ""VIS-TEAM-FGA"": 91, ""HOME-TEAM-FG_PCT"": 37, ""VIS-TEAM-FG_PCT"": 41, ""HOME-TEAM-FG3M"": 8, ""VIS-TEAM-FG3M"": 7, ""HOME-TEAM-FG3A"": 23, ""VIS-TEAM-FG3A"": 20, ""HOME-TEAM-FG3_PCT"": 35, ""VIS-TEAM-FG3_PCT"": 35, ""HOME-TEAM-FTM"": 25, ""VIS-TEAM-FTM"": 17, ""HOME-TEAM-FTA"": 32, ""VIS-TEAM-FTA"": 20, ""HOME-TEAM-FT_PCT"": 78, ""VIS-TEAM-FT_PCT"": 85, ""HOME-TEAM-REB"": 43, ""VIS-TEAM-REB"": 52, ""HOME-TEAM-AST"": 20, ""VIS-TEAM-AST"": 26, ""HOME-TEAM-TOV"": 14, ""VIS-TEAM-TOV"": 11, ""HOME-TEAM-WINS"": 8, ""VIS-TEAM-WINS"": 7, ""HOME-TEAM-LOSSES"": 34, ""VIS-TEAM-LOSSES"": 36, ""HOME-WINNER"": 0, ""VIS-WINNER"": 1, ""HOME-TEAM-STANDING"": 14, ""VIS-TEAM-STANDING"": 15, ""HOME-STREAK-TYPE"": 0, ""VIS-STREAK-TYPE"": 1, ""HOME-STREAK-COUNT"": 0, ""VIS-STREAK-COUNT"": 2}"
"The New_York Knicks ( 7 - 36 ) The New_York Knicks ( 7 - 36 ) also out - rebounded the 76ers 52 - 43 , even furthering The New_York Knicks ( 7 - 36 ) advantage in The New_York Knicks ( 7 - 36 ) . ","{""HOME-TEAM-PTS_QTR1"": 18, ""VIS-TEAM-PTS_QTR1"": 18, ""HOME-TEAM-PTS_QTR2"": 24, ""VIS-TEAM-PTS_QTR2"": 31, ""HOME-TEAM-PTS_QTR3"": 20, ""VIS-TEAM-PTS_QTR3"": 25, ""HOME-TEAM-PTS_QTR4"": 29, ""VIS-TEAM-PTS_QTR4"": 24, ""HOME-TEAM-PTS"": 91, ""VIS-TEAM-PTS"": 98, ""HOME-TEAM-FGM"": 29, ""VIS-TEAM-FGM"": 37, ""HOME-TEAM-FGA"": 79, ""VIS-TEAM-FGA"": 91, ""HOME-TEAM-FG_PCT"": 37, ""VIS-TEAM-FG_PCT"": 41, ""HOME-TEAM-FG3M"": 8, ""VIS-TEAM-FG3M"": 7, ""HOME-TEAM-FG3A"": 23, ""VIS-TEAM-FG3A"": 20, ""HOME-TEAM-FG3_PCT"": 35, ""VIS-TEAM-FG3_PCT"": 35, ""HOME-TEAM-FTM"": 25, ""VIS-TEAM-FTM"": 17, ""HOME-TEAM-FTA"": 32, ""VIS-TEAM-FTA"": 20, ""HOME-TEAM-FT_PCT"": 78, ""VIS-TEAM-FT_PCT"": 85, ""HOME-TEAM-REB"": 43, ""VIS-TEAM-REB"": 52, ""HOME-TEAM-AST"": 20, ""VIS-TEAM-AST"": 26, ""HOME-TEAM-TOV"": 14, ""VIS-TEAM-TOV"": 11, ""HOME-TEAM-WINS"": 8, ""VIS-TEAM-WINS"": 7, ""HOME-TEAM-LOSSES"": 34, ""VIS-TEAM-LOSSES"": 36, ""HOME-WINNER"": 0, ""VIS-WINNER"": 1, ""HOME-TEAM-STANDING"": 14, ""VIS-TEAM-STANDING"": 15, ""HOME-STREAK-TYPE"": 0, ""VIS-STREAK-TYPE"": 1, ""HOME-STREAK-COUNT"": 0, ""VIS-STREAK-COUNT"": 2}"
"For The New_York Knicks ( 7 - 36 ) , Carmelo Anthony came out firing Wednesday , scoring 27 points ( 8 - 24 FG , 2 - 7 3Pt , 9 - 10 FT ) , while also recording 11 rebounds and 4 assists . ","{""HOME-TEAM-PTS_QTR1"": 18, ""VIS-TEAM-PTS_QTR1"": 18, ""HOME-TEAM-PTS_QTR2"": 24, ""VIS-TEAM-PTS_QTR2"": 31, ""HOME-TEAM-PTS_QTR3"": 20, ""VIS-TEAM-PTS_QTR3"": 25, ""HOME-TEAM-PTS_QTR4"": 29, ""VIS-TEAM-PTS_QTR4"": 24, ""HOME-TEAM-PTS"": 91, ""VIS-TEAM-PTS"": 98, ""HOME-TEAM-FGM"": 29, ""VIS-TEAM-FGM"": 37, ""HOME-TEAM-FGA"": 79, ""VIS-TEAM-FGA"": 91, ""HOME-TEAM-FG_PCT"": 37, ""VIS-TEAM-FG_PCT"": 41, ""HOME-TEAM-FG3M"": 8, ""VIS-TEAM-FG3M"": 7, ""HOME-TEAM-FG3A"": 23, ""VIS-TEAM-FG3A"": 20, ""HOME-TEAM-FG3_PCT"": 35, ""VIS-TEAM-FG3_PCT"": 35, ""HOME-TEAM-FTM"": 25, ""VIS-TEAM-FTM"": 17, ""HOME-TEAM-FTA"": 32, ""VIS-TEAM-FTA"": 20, ""HOME-TEAM-FT_PCT"": 78, ""VIS-TEAM-FT_PCT"": 85, ""HOME-TEAM-REB"": 43, ""VIS-TEAM-REB"": 52, ""HOME-TEAM-AST"": 20, ""VIS-TEAM-AST"": 26, ""HOME-TEAM-TOV"": 14, ""VIS-TEAM-TOV"": 11, ""HOME-TEAM-WINS"": 8, ""VIS-TEAM-WINS"": 7, ""HOME-TEAM-LOSSES"": 34, ""VIS-TEAM-LOSSES"": 36, ""HOME-WINNER"": 0, ""VIS-WINNER"": 1, ""HOME-TEAM-STANDING"": 14, ""VIS-TEAM-STANDING"": 15, ""HOME-STREAK-TYPE"": 0, ""VIS-STREAK-TYPE"": 1, ""HOME-STREAK-COUNT"": 0, ""VIS-STREAK-COUNT"": 2}"
The Philadelphia 76ers ( 12 - 40 ) defeated the Charlotte Hornets ( 22 - 28 ) 89 - 81 on Saturday at the Wells_Fargo_Center . ,"{""HOME-TEAM-PTS_QTR1"": 23, ""VIS-TEAM-PTS_QTR1"": 24, ""HOME-TEAM-PTS_QTR2"": 19, ""VIS-TEAM-PTS_QTR2"": 24, ""HOME-TEAM-PTS_QTR3"": 28, ""VIS-TEAM-PTS_QTR3"": 13, ""HOME-TEAM-PTS_QTR4"": 19, ""VIS-TEAM-PTS_QTR4"": 20, ""HOME-TEAM-PTS"": 89, ""VIS-TEAM-PTS"": 81, ""HOME-TEAM-FGM"": 29, ""VIS-TEAM-FGM"": 29, ""HOME-TEAM-FGA"": 74, ""VIS-TEAM-FGA"": 84, ""HOME-TEAM-FG_PCT"": 39, ""VIS-TEAM-FG_PCT"": 35, ""HOME-TEAM-FG3M"": 9, ""VIS-TEAM-FG3M"": 6, ""HOME-TEAM-FG3A"": 23, ""VIS-TEAM-FG3A"": 23, ""HOME-TEAM-FG3_PCT"": 39, ""VIS-TEAM-FG3_PCT"": 26, ""HOME-TEAM-FTM"": 22, ""VIS-TEAM-FTM"": 17, ""HOME-TEAM-FTA"": 30, ""VIS-TEAM-FTA"": 20, ""HOME-TEAM-FT_PCT"": 73, ""VIS-TEAM-FT_PCT"": 85, ""HOME-TEAM-REB"": 47, ""VIS-TEAM-REB"": 43, ""HOME-TEAM-AST"": 19, ""VIS-TEAM-AST"": 24, ""HOME-TEAM-TOV"": 15, ""VIS-TEAM-TOV"": 12, ""HOME-TEAM-WINS"": 12, ""VIS-TEAM-WINS"": 22, ""HOME-TEAM-LOSSES"": 40, ""VIS-TEAM-LOSSES"": 28, ""HOME-WINNER"": 1, ""VIS-WINNER"": 0, ""HOME-TEAM-STANDING"": 14, ""VIS-TEAM-STANDING"": 7, ""HOME-STREAK-TYPE"": 1, ""VIS-STREAK-TYPE"": 0, ""HOME-STREAK-COUNT"": 2, ""VIS-STREAK-COUNT"": 3}"
The Pacers ( 22 - 33 ) knocked off the 76ers ( 12 - 42 ) 106 - 95 behind 30 points and 4 assists from Rodney Stuckey . ,"{""HOME-TEAM-PTS_QTR1"": 16, ""VIS-TEAM-PTS_QTR1"": 23, ""HOME-TEAM-PTS_QTR2"": 24, ""VIS-TEAM-PTS_QTR2"": 35, ""HOME-TEAM-PTS_QTR3"": 28, ""VIS-TEAM-PTS_QTR3"": 29, ""HOME-TEAM-PTS_QTR4"": 27, ""VIS-TEAM-PTS_QTR4"": 19, ""HOME-TEAM-PTS"": 95, ""VIS-TEAM-PTS"": 106, ""HOME-TEAM-FGM"": 34, ""VIS-TEAM-FGM"": 40, ""HOME-TEAM-FGA"": 84, ""VIS-TEAM-FGA"": 83, ""HOME-TEAM-FG_PCT"": 40, ""VIS-TEAM-FG_PCT"": 48, ""HOME-TEAM-FG3M"": 8, ""VIS-TEAM-FG3M"": 8, ""HOME-TEAM-FG3A"": 25, ""VIS-TEAM-FG3A"": 22, ""HOME-TEAM-FG3_PCT"": 32, ""VIS-TEAM-FG3_PCT"": 36, ""HOME-TEAM-FTM"": 19, ""VIS-TEAM-FTM"": 18, ""HOME-TEAM-FTA"": 29, ""VIS-TEAM-FTA"": 22, ""HOME-TEAM-FT_PCT"": 66, ""VIS-TEAM-FT_PCT"": 82, ""HOME-TEAM-REB"": 47, ""VIS-TEAM-REB"": 44, ""HOME-TEAM-AST"": 18, ""VIS-TEAM-AST"": 24, ""HOME-TEAM-TOV"": 17, ""VIS-TEAM-TOV"": 15, ""HOME-TEAM-WINS"": 12, ""VIS-TEAM-WINS"": 22, ""HOME-TEAM-LOSSES"": 42, ""VIS-TEAM-LOSSES"": 33, ""HOME-WINNER"": 1, ""VIS-WINNER"": 0, ""HOME-TEAM-STANDING"": 14, ""VIS-TEAM-STANDING"": 11, ""HOME-STREAK-TYPE"": 1, ""VIS-STREAK-TYPE"": 0, ""HOME-STREAK-COUNT"": 1, ""VIS-STREAK-COUNT"": 0}"
"The Pacers ( 22 - 33 ) had only 1 starter in double - figures , as C.J . ","{""HOME-TEAM-PTS_QTR1"": 16, ""VIS-TEAM-PTS_QTR1"": 23, ""HOME-TEAM-PTS_QTR2"": 24, ""VIS-TEAM-PTS_QTR2"": 35, ""HOME-TEAM-PTS_QTR3"": 28, ""VIS-TEAM-PTS_QTR3"": 29, ""HOME-TEAM-PTS_QTR4"": 27, ""VIS-TEAM-PTS_QTR4"": 19, ""HOME-TEAM-PTS"": 95, ""VIS-TEAM-PTS"": 106, ""HOME-TEAM-FGM"": 34, ""VIS-TEAM-FGM"": 40, ""HOME-TEAM-FGA"": 84, ""VIS-TEAM-FGA"": 83, ""HOME-TEAM-FG_PCT"": 40, ""VIS-TEAM-FG_PCT"": 48, ""HOME-TEAM-FG3M"": 8, ""VIS-TEAM-FG3M"": 8, ""HOME-TEAM-FG3A"": 25, ""VIS-TEAM-FG3A"": 22, ""HOME-TEAM-FG3_PCT"": 32, ""VIS-TEAM-FG3_PCT"": 36, ""HOME-TEAM-FTM"": 19, ""VIS-TEAM-FTM"": 18, ""HOME-TEAM-FTA"": 29, ""VIS-TEAM-FTA"": 22, ""HOME-TEAM-FT_PCT"": 66, ""VIS-TEAM-FT_PCT"": 82, ""HOME-TEAM-REB"": 47, ""VIS-TEAM-REB"": 44, ""HOME-TEAM-AST"": 18, ""VIS-TEAM-AST"": 24, ""HOME-TEAM-TOV"": 17, ""VIS-TEAM-TOV"": 15, ""HOME-TEAM-WINS"": 12, ""VIS-TEAM-WINS"": 22, ""HOME-TEAM-LOSSES"": 42, ""VIS-TEAM-LOSSES"": 33, ""HOME-WINNER"": 1, ""VIS-WINNER"": 0, ""HOME-TEAM-STANDING"": 14, ""VIS-TEAM-STANDING"": 11, ""HOME-STREAK-TYPE"": 1, ""VIS-STREAK-TYPE"": 0, ""HOME-STREAK-COUNT"": 1, ""VIS-STREAK-COUNT"": 0}"
