sentences,sim_features
Oklahoma_City shot nearly 50 percent from the field and converted 24 - of - 31 free throws . ,"{""HOME-TEAM-PTS_QTR1"": 24, ""VIS-TEAM-PTS_QTR1"": 31, ""HOME-TEAM-PTS_QTR2"": 23, ""VIS-TEAM-PTS_QTR2"": 26, ""HOME-TEAM-PTS_QTR3"": 20, ""VIS-TEAM-PTS_QTR3"": 25, ""HOME-TEAM-PTS_QTR4"": 24, ""VIS-TEAM-PTS_QTR4"": 21, ""HOME-TEAM-PTS"": 91, ""VIS-TEAM-PTS"": 103, ""HOME-TEAM-FGM"": 32, ""VIS-TEAM-FGM"": 35, ""HOME-TEAM-FGA"": 84, ""VIS-TEAM-FGA"": 71, ""HOME-TEAM-FG_PCT"": 38, ""VIS-TEAM-FG_PCT"": 49, ""HOME-TEAM-FG3M"": 8, ""VIS-TEAM-FG3M"": 9, ""HOME-TEAM-FG3A"": 28, ""VIS-TEAM-FG3A"": 23, ""HOME-TEAM-FG3_PCT"": 29, ""VIS-TEAM-FG3_PCT"": 39, ""HOME-TEAM-FTM"": 19, ""VIS-TEAM-FTM"": 24, ""HOME-TEAM-FTA"": 30, ""VIS-TEAM-FTA"": 31, ""HOME-TEAM-FT_PCT"": 63, ""VIS-TEAM-FT_PCT"": 77, ""HOME-TEAM-REB"": 44, ""VIS-TEAM-REB"": 40, ""HOME-TEAM-AST"": 25, ""VIS-TEAM-AST"": 27, ""HOME-TEAM-TOV"": 17, ""VIS-TEAM-TOV"": 16, ""HOME-TEAM-WINS"": 1, ""VIS-TEAM-WINS"": 6, ""HOME-TEAM-LOSSES"": 18, ""VIS-TEAM-LOSSES"": 13, ""HOME-WINNER"": 1, ""VIS-WINNER"": 0, ""HOME-TEAM-STANDING"": 15, ""VIS-TEAM-STANDING"": 12, ""HOME-STREAK-TYPE"": 1, ""VIS-STREAK-TYPE"": 0, ""HOME-STREAK-COUNT"": 1, ""VIS-STREAK-COUNT"": 2}"
Philadelphia shot a paltry 38 percent from the floor and committed 17 turnovers . ,"{""HOME-TEAM-PTS_QTR1"": 24, ""VIS-TEAM-PTS_QTR1"": 31, ""HOME-TEAM-PTS_QTR2"": 23, ""VIS-TEAM-PTS_QTR2"": 26, ""HOME-TEAM-PTS_QTR3"": 20, ""VIS-TEAM-PTS_QTR3"": 25, ""HOME-TEAM-PTS_QTR4"": 24, ""VIS-TEAM-PTS_QTR4"": 21, ""HOME-TEAM-PTS"": 91, ""VIS-TEAM-PTS"": 103, ""HOME-TEAM-FGM"": 32, ""VIS-TEAM-FGM"": 35, ""HOME-TEAM-FGA"": 84, ""VIS-TEAM-FGA"": 71, ""HOME-TEAM-FG_PCT"": 38, ""VIS-TEAM-FG_PCT"": 49, ""HOME-TEAM-FG3M"": 8, ""VIS-TEAM-FG3M"": 9, ""HOME-TEAM-FG3A"": 28, ""VIS-TEAM-FG3A"": 23, ""HOME-TEAM-FG3_PCT"": 29, ""VIS-TEAM-FG3_PCT"": 39, ""HOME-TEAM-FTM"": 19, ""VIS-TEAM-FTM"": 24, ""HOME-TEAM-FTA"": 30, ""VIS-TEAM-FTA"": 31, ""HOME-TEAM-FT_PCT"": 63, ""VIS-TEAM-FT_PCT"": 77, ""HOME-TEAM-REB"": 44, ""VIS-TEAM-REB"": 40, ""HOME-TEAM-AST"": 25, ""VIS-TEAM-AST"": 27, ""HOME-TEAM-TOV"": 17, ""VIS-TEAM-TOV"": 16, ""HOME-TEAM-WINS"": 1, ""VIS-TEAM-WINS"": 6, ""HOME-TEAM-LOSSES"": 18, ""VIS-TEAM-LOSSES"": 13, ""HOME-WINNER"": 1, ""VIS-WINNER"": 0, ""HOME-TEAM-STANDING"": 15, ""VIS-TEAM-STANDING"": 12, ""HOME-STREAK-TYPE"": 1, ""VIS-STREAK-TYPE"": 0, ""HOME-STREAK-COUNT"": 1, ""VIS-STREAK-COUNT"": 2}"
"The New_York Knicks ( 7 - 36 ) were the better shooters in this game , going 41 percent from the field and 35 percent from the 3 - point line , while the 76ers went just 37 percent from the floor and 35 percent from beyond the arc . ","{""HOME-TEAM-PTS_QTR1"": 18, ""VIS-TEAM-PTS_QTR1"": 18, ""HOME-TEAM-PTS_QTR2"": 24, ""VIS-TEAM-PTS_QTR2"": 31, ""HOME-TEAM-PTS_QTR3"": 20, ""VIS-TEAM-PTS_QTR3"": 25, ""HOME-TEAM-PTS_QTR4"": 29, ""VIS-TEAM-PTS_QTR4"": 24, ""HOME-TEAM-PTS"": 91, ""VIS-TEAM-PTS"": 98, ""HOME-TEAM-FGM"": 29, ""VIS-TEAM-FGM"": 37, ""HOME-TEAM-FGA"": 79, ""VIS-TEAM-FGA"": 91, ""HOME-TEAM-FG_PCT"": 37, ""VIS-TEAM-FG_PCT"": 41, ""HOME-TEAM-FG3M"": 8, ""VIS-TEAM-FG3M"": 7, ""HOME-TEAM-FG3A"": 23, ""VIS-TEAM-FG3A"": 20, ""HOME-TEAM-FG3_PCT"": 35, ""VIS-TEAM-FG3_PCT"": 35, ""HOME-TEAM-FTM"": 25, ""VIS-TEAM-FTM"": 17, ""HOME-TEAM-FTA"": 32, ""VIS-TEAM-FTA"": 20, ""HOME-TEAM-FT_PCT"": 78, ""VIS-TEAM-FT_PCT"": 85, ""HOME-TEAM-REB"": 43, ""VIS-TEAM-REB"": 52, ""HOME-TEAM-AST"": 20, ""VIS-TEAM-AST"": 26, ""HOME-TEAM-TOV"": 14, ""VIS-TEAM-TOV"": 11, ""HOME-TEAM-WINS"": 8, ""VIS-TEAM-WINS"": 7, ""HOME-TEAM-LOSSES"": 34, ""VIS-TEAM-LOSSES"": 36, ""HOME-WINNER"": 0, ""VIS-WINNER"": 1, ""HOME-TEAM-STANDING"": 14, ""VIS-TEAM-STANDING"": 15, ""HOME-STREAK-TYPE"": 0, ""VIS-STREAK-TYPE"": 1, ""HOME-STREAK-COUNT"": 0, ""VIS-STREAK-COUNT"": 2}"
Philadelphia bounced back from a 107 - 96 loss in Boston on Friday to beat a Charlotte team that had won 7 of Philadelphia 15 10 games entering Saturday . ,"{""HOME-TEAM-PTS_QTR1"": 23, ""VIS-TEAM-PTS_QTR1"": 24, ""HOME-TEAM-PTS_QTR2"": 19, ""VIS-TEAM-PTS_QTR2"": 24, ""HOME-TEAM-PTS_QTR3"": 28, ""VIS-TEAM-PTS_QTR3"": 13, ""HOME-TEAM-PTS_QTR4"": 19, ""VIS-TEAM-PTS_QTR4"": 20, ""HOME-TEAM-PTS"": 89, ""VIS-TEAM-PTS"": 81, ""HOME-TEAM-FGM"": 29, ""VIS-TEAM-FGM"": 29, ""HOME-TEAM-FGA"": 74, ""VIS-TEAM-FGA"": 84, ""HOME-TEAM-FG_PCT"": 39, ""VIS-TEAM-FG_PCT"": 35, ""HOME-TEAM-FG3M"": 9, ""VIS-TEAM-FG3M"": 6, ""HOME-TEAM-FG3A"": 23, ""VIS-TEAM-FG3A"": 23, ""HOME-TEAM-FG3_PCT"": 39, ""VIS-TEAM-FG3_PCT"": 26, ""HOME-TEAM-FTM"": 22, ""VIS-TEAM-FTM"": 17, ""HOME-TEAM-FTA"": 30, ""VIS-TEAM-FTA"": 20, ""HOME-TEAM-FT_PCT"": 73, ""VIS-TEAM-FT_PCT"": 85, ""HOME-TEAM-REB"": 47, ""VIS-TEAM-REB"": 43, ""HOME-TEAM-AST"": 19, ""VIS-TEAM-AST"": 24, ""HOME-TEAM-TOV"": 15, ""VIS-TEAM-TOV"": 12, ""HOME-TEAM-WINS"": 12, ""VIS-TEAM-WINS"": 22, ""HOME-TEAM-LOSSES"": 40, ""VIS-TEAM-LOSSES"": 28, ""HOME-WINNER"": 1, ""VIS-WINNER"": 0, ""HOME-TEAM-STANDING"": 14, ""VIS-TEAM-STANDING"": 7, ""HOME-STREAK-TYPE"": 1, ""VIS-STREAK-TYPE"": 0, ""HOME-STREAK-COUNT"": 2, ""VIS-STREAK-COUNT"": 3}"
"Both teams shot surprisingly well in this 1 , with The Toronto Raptors ( 38 - 22 ) finishing at 51 percent from the field and 41 percent from the 3 - point line , while the 76ers went 53 percent from the floor and 40 percent from deep . ","{""HOME-TEAM-PTS_QTR1"": 22, ""VIS-TEAM-PTS_QTR1"": 26, ""HOME-TEAM-PTS_QTR2"": 27, ""VIS-TEAM-PTS_QTR2"": 29, ""HOME-TEAM-PTS_QTR3"": 27, ""VIS-TEAM-PTS_QTR3"": 28, ""HOME-TEAM-PTS_QTR4"": 27, ""VIS-TEAM-PTS_QTR4"": 31, ""HOME-TEAM-PTS"": 103, ""VIS-TEAM-PTS"": 114, ""HOME-TEAM-FGM"": 41, ""VIS-TEAM-FGM"": 41, ""HOME-TEAM-FGA"": 78, ""VIS-TEAM-FGA"": 80, ""HOME-TEAM-FG_PCT"": 53, ""VIS-TEAM-FG_PCT"": 51, ""HOME-TEAM-FG3M"": 8, ""VIS-TEAM-FG3M"": 11, ""HOME-TEAM-FG3A"": 20, ""VIS-TEAM-FG3A"": 27, ""HOME-TEAM-FG3_PCT"": 40, ""VIS-TEAM-FG3_PCT"": 41, ""HOME-TEAM-FTM"": 13, ""VIS-TEAM-FTM"": 21, ""HOME-TEAM-FTA"": 19, ""VIS-TEAM-FTA"": 24, ""HOME-TEAM-FT_PCT"": 68, ""VIS-TEAM-FT_PCT"": 88, ""HOME-TEAM-REB"": 36, ""VIS-TEAM-REB"": 36, ""HOME-TEAM-AST"": 32, ""VIS-TEAM-AST"": 24, ""HOME-TEAM-TOV"": 15, ""VIS-TEAM-TOV"": 9, ""HOME-TEAM-WINS"": 13, ""VIS-TEAM-WINS"": 38, ""HOME-TEAM-LOSSES"": 47, ""VIS-TEAM-LOSSES"": 22, ""HOME-WINNER"": 0, ""VIS-WINNER"": 1, ""HOME-TEAM-STANDING"": 14, ""VIS-TEAM-STANDING"": 2, ""HOME-STREAK-TYPE"": 0, ""VIS-STREAK-TYPE"": 1, ""HOME-STREAK-COUNT"": 0, ""VIS-STREAK-COUNT"": 2}"
"Despite an evenly played game , The Toronto Raptors ( 38 - 22 ) forced the 76ers into 16 turnovers , while committing just 11 of The Toronto Raptors ( 38 - 22 ) own , which may have made just enough of a difference to push The Toronto Raptors ( 38 - 22 ) to a victory on the road in Philadelphia on Monday . ","{""HOME-TEAM-PTS_QTR1"": 22, ""VIS-TEAM-PTS_QTR1"": 26, ""HOME-TEAM-PTS_QTR2"": 27, ""VIS-TEAM-PTS_QTR2"": 29, ""HOME-TEAM-PTS_QTR3"": 27, ""VIS-TEAM-PTS_QTR3"": 28, ""HOME-TEAM-PTS_QTR4"": 27, ""VIS-TEAM-PTS_QTR4"": 31, ""HOME-TEAM-PTS"": 103, ""VIS-TEAM-PTS"": 114, ""HOME-TEAM-FGM"": 41, ""VIS-TEAM-FGM"": 41, ""HOME-TEAM-FGA"": 78, ""VIS-TEAM-FGA"": 80, ""HOME-TEAM-FG_PCT"": 53, ""VIS-TEAM-FG_PCT"": 51, ""HOME-TEAM-FG3M"": 8, ""VIS-TEAM-FG3M"": 11, ""HOME-TEAM-FG3A"": 20, ""VIS-TEAM-FG3A"": 27, ""HOME-TEAM-FG3_PCT"": 40, ""VIS-TEAM-FG3_PCT"": 41, ""HOME-TEAM-FTM"": 13, ""VIS-TEAM-FTM"": 21, ""HOME-TEAM-FTA"": 19, ""VIS-TEAM-FTA"": 24, ""HOME-TEAM-FT_PCT"": 68, ""VIS-TEAM-FT_PCT"": 88, ""HOME-TEAM-REB"": 36, ""VIS-TEAM-REB"": 36, ""HOME-TEAM-AST"": 32, ""VIS-TEAM-AST"": 24, ""HOME-TEAM-TOV"": 15, ""VIS-TEAM-TOV"": 9, ""HOME-TEAM-WINS"": 13, ""VIS-TEAM-WINS"": 38, ""HOME-TEAM-LOSSES"": 47, ""VIS-TEAM-LOSSES"": 22, ""HOME-WINNER"": 0, ""VIS-WINNER"": 1, ""HOME-TEAM-STANDING"": 14, ""VIS-TEAM-STANDING"": 2, ""HOME-STREAK-TYPE"": 0, ""VIS-STREAK-TYPE"": 1, ""HOME-STREAK-COUNT"": 0, ""VIS-STREAK-COUNT"": 2}"
"After shooting less than 30 percent over He 15 2 games , He finally got things turned around and exploded for a new season - high in points . ","{""HOME-TEAM-PTS_QTR1"": 22, ""VIS-TEAM-PTS_QTR1"": 26, ""HOME-TEAM-PTS_QTR2"": 27, ""VIS-TEAM-PTS_QTR2"": 29, ""HOME-TEAM-PTS_QTR3"": 27, ""VIS-TEAM-PTS_QTR3"": 28, ""HOME-TEAM-PTS_QTR4"": 27, ""VIS-TEAM-PTS_QTR4"": 31, ""HOME-TEAM-PTS"": 103, ""VIS-TEAM-PTS"": 114, ""HOME-TEAM-FGM"": 41, ""VIS-TEAM-FGM"": 41, ""HOME-TEAM-FGA"": 78, ""VIS-TEAM-FGA"": 80, ""HOME-TEAM-FG_PCT"": 53, ""VIS-TEAM-FG_PCT"": 51, ""HOME-TEAM-FG3M"": 8, ""VIS-TEAM-FG3M"": 11, ""HOME-TEAM-FG3A"": 20, ""VIS-TEAM-FG3A"": 27, ""HOME-TEAM-FG3_PCT"": 40, ""VIS-TEAM-FG3_PCT"": 41, ""HOME-TEAM-FTM"": 13, ""VIS-TEAM-FTM"": 21, ""HOME-TEAM-FTA"": 19, ""VIS-TEAM-FTA"": 24, ""HOME-TEAM-FT_PCT"": 68, ""VIS-TEAM-FT_PCT"": 88, ""HOME-TEAM-REB"": 36, ""VIS-TEAM-REB"": 36, ""HOME-TEAM-AST"": 32, ""VIS-TEAM-AST"": 24, ""HOME-TEAM-TOV"": 15, ""VIS-TEAM-TOV"": 9, ""HOME-TEAM-WINS"": 13, ""VIS-TEAM-WINS"": 38, ""HOME-TEAM-LOSSES"": 47, ""VIS-TEAM-LOSSES"": 22, ""HOME-WINNER"": 0, ""VIS-WINNER"": 1, ""HOME-TEAM-STANDING"": 14, ""VIS-TEAM-STANDING"": 2, ""HOME-STREAK-TYPE"": 0, ""VIS-STREAK-TYPE"": 1, ""HOME-STREAK-COUNT"": 0, ""VIS-STREAK-COUNT"": 2}"
"the 76ers did n't have the best night shooting the ball , but the 76ers still finished at 47 percent from the field and 28 percent from the 3 - point line as a team . ","{""HOME-TEAM-PTS_QTR1"": 29, ""VIS-TEAM-PTS_QTR1"": 22, ""HOME-TEAM-PTS_QTR2"": 22, ""VIS-TEAM-PTS_QTR2"": 42, ""HOME-TEAM-PTS_QTR3"": 37, ""VIS-TEAM-PTS_QTR3"": 18, ""HOME-TEAM-PTS_QTR4"": 26, ""VIS-TEAM-PTS_QTR4"": 25, ""HOME-TEAM-PTS"": 114, ""VIS-TEAM-PTS"": 107, ""HOME-TEAM-FGM"": 45, ""VIS-TEAM-FGM"": 35, ""HOME-TEAM-FGA"": 95, ""VIS-TEAM-FGA"": 87, ""HOME-TEAM-FG_PCT"": 47, ""VIS-TEAM-FG_PCT"": 40, ""HOME-TEAM-FG3M"": 9, ""VIS-TEAM-FG3M"": 4, ""HOME-TEAM-FG3A"": 32, ""VIS-TEAM-FG3A"": 14, ""HOME-TEAM-FG3_PCT"": 28, ""VIS-TEAM-FG3_PCT"": 29, ""HOME-TEAM-FTM"": 15, ""VIS-TEAM-FTM"": 33, ""HOME-TEAM-FTA"": 23, ""VIS-TEAM-FTA"": 40, ""HOME-TEAM-FT_PCT"": 65, ""VIS-TEAM-FT_PCT"": 82, ""HOME-TEAM-REB"": 46, ""VIS-TEAM-REB"": 50, ""HOME-TEAM-AST"": 30, ""VIS-TEAM-AST"": 22, ""HOME-TEAM-TOV"": 15, ""VIS-TEAM-TOV"": 17, ""HOME-TEAM-WINS"": 15, ""VIS-TEAM-WINS"": 22, ""HOME-TEAM-LOSSES"": 50, ""VIS-TEAM-LOSSES"": 42, ""HOME-WINNER"": 1, ""VIS-WINNER"": 0, ""HOME-TEAM-STANDING"": 14, ""VIS-TEAM-STANDING"": 13, ""HOME-STREAK-TYPE"": 1, ""VIS-STREAK-TYPE"": 0, ""HOME-STREAK-COUNT"": 1, ""VIS-STREAK-COUNT"": 0}"
"The oft - injured Brook Lopez played The oft - injured Brook Lopez 38th straight contest , more than double The oft - injured Brook Lopez total from 15 season . ","{""HOME-TEAM-PTS_QTR1"": 29, ""VIS-TEAM-PTS_QTR1"": 27, ""HOME-TEAM-PTS_QTR2"": 27, ""VIS-TEAM-PTS_QTR2"": 24, ""HOME-TEAM-PTS_QTR3"": 10, ""VIS-TEAM-PTS_QTR3"": 23, ""HOME-TEAM-PTS_QTR4"": 21, ""VIS-TEAM-PTS_QTR4"": 20, ""HOME-TEAM-PTS"": 87, ""VIS-TEAM-PTS"": 94, ""HOME-TEAM-FGM"": 35, ""VIS-TEAM-FGM"": 37, ""HOME-TEAM-FGA"": 94, ""VIS-TEAM-FGA"": 84, ""HOME-TEAM-FG_PCT"": 37, ""VIS-TEAM-FG_PCT"": 44, ""HOME-TEAM-FG3M"": 8, ""VIS-TEAM-FG3M"": 2, ""HOME-TEAM-FG3A"": 37, ""VIS-TEAM-FG3A"": 17, ""HOME-TEAM-FG3_PCT"": 22, ""VIS-TEAM-FG3_PCT"": 12, ""HOME-TEAM-FTM"": 9, ""VIS-TEAM-FTM"": 18, ""HOME-TEAM-FTA"": 14, ""VIS-TEAM-FTA"": 26, ""HOME-TEAM-FT_PCT"": 64, ""VIS-TEAM-FT_PCT"": 69, ""HOME-TEAM-REB"": 48, ""VIS-TEAM-REB"": 45, ""HOME-TEAM-AST"": 21, ""VIS-TEAM-AST"": 20, ""HOME-TEAM-TOV"": 16, ""VIS-TEAM-TOV"": 16, ""HOME-TEAM-WINS"": 15, ""VIS-TEAM-WINS"": 26, ""HOME-TEAM-LOSSES"": 51, ""VIS-TEAM-LOSSES"": 38, ""HOME-WINNER"": 0, ""VIS-WINNER"": 1, ""HOME-TEAM-STANDING"": 14, ""VIS-TEAM-STANDING"": 11, ""HOME-STREAK-TYPE"": 0, ""VIS-STREAK-TYPE"": 1, ""HOME-STREAK-COUNT"": 0, ""VIS-STREAK-COUNT"": 2}"
"By losing 11 of their previous 12 games , their are destined for the the NBA lottery . ","{""HOME-TEAM-PTS_QTR1"": 24, ""VIS-TEAM-PTS_QTR1"": 21, ""HOME-TEAM-PTS_QTR2"": 25, ""VIS-TEAM-PTS_QTR2"": 18, ""HOME-TEAM-PTS_QTR3"": 19, ""VIS-TEAM-PTS_QTR3"": 26, ""HOME-TEAM-PTS_QTR4"": 26, ""VIS-TEAM-PTS_QTR4"": 18, ""HOME-TEAM-PTS"": 94, ""VIS-TEAM-PTS"": 83, ""HOME-TEAM-FGM"": 36, ""VIS-TEAM-FGM"": 29, ""HOME-TEAM-FGA"": 84, ""VIS-TEAM-FGA"": 88, ""HOME-TEAM-FG_PCT"": 43, ""VIS-TEAM-FG_PCT"": 33, ""HOME-TEAM-FG3M"": 11, ""VIS-TEAM-FG3M"": 8, ""HOME-TEAM-FG3A"": 27, ""VIS-TEAM-FG3A"": 26, ""HOME-TEAM-FG3_PCT"": 41, ""VIS-TEAM-FG3_PCT"": 31, ""HOME-TEAM-FTM"": 11, ""VIS-TEAM-FTM"": 17, ""HOME-TEAM-FTA"": 18, ""VIS-TEAM-FTA"": 19, ""HOME-TEAM-FT_PCT"": 61, ""VIS-TEAM-FT_PCT"": 89, ""HOME-TEAM-REB"": 42, ""VIS-TEAM-REB"": 51, ""HOME-TEAM-AST"": 25, ""VIS-TEAM-AST"": 18, ""HOME-TEAM-TOV"": 15, ""VIS-TEAM-TOV"": 18, ""HOME-TEAM-WINS"": 16, ""VIS-TEAM-WINS"": 24, ""HOME-TEAM-LOSSES"": 52, ""VIS-TEAM-LOSSES"": 44, ""HOME-WINNER"": 1, ""VIS-WINNER"": 0, ""HOME-TEAM-STANDING"": 14, ""VIS-TEAM-STANDING"": 12, ""HOME-STREAK-TYPE"": 1, ""VIS-STREAK-TYPE"": 0, ""HOME-STREAK-COUNT"": 2, ""VIS-STREAK-COUNT"": 2}"
