templates,used_attributes
VIS-TEAM-PLACE shot nearly 50 percent from the field and converted VIS-TEAM-FTM - of - VIS-TEAM-FTA free throws . ,"['VIS-TEAM-PLACE', 'HOME-TEAM-PTS_QTR1', 'HOME-TEAM-PTS_QTR4', 'VIS-TEAM-FTM', 'VIS-TEAM-PTS_QTR1', 'VIS-TEAM-FTA']"
HOME-TEAM-PLACE shot a paltry HOME-TEAM-FG_PCT percent from the floor and committed HOME-TEAM-TOV turnovers . ,"['HOME-TEAM-PLACE', 'HOME-TEAM-FG_PCT', 'HOME-TEAM-TOV']"
"The VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) were the better shooters in this game , going VIS-TEAM-FG_PCT percent from the field and VIS-TEAM-FG3_PCT percent from the 3 - point line , while the HOME-TEAM-NAME went just HOME-TEAM-FG_PCT percent from the floor and VIS-TEAM-FG3_PCT percent from beyond the arc . ","['VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-FG3M', 'VIS-TEAM-WINS', 'VIS-TEAM-LOSSES', 'VIS-TEAM-FG_PCT', 'HOME-TEAM-FG3_PCT', 'VIS-TEAM-FG3_PCT', 'HOME-TEAM-NAME', 'VIS-TEAM-FGM', 'HOME-TEAM-FG_PCT', 'HOME-TEAM-FG3_PCT', 'VIS-TEAM-FG3_PCT']"
"After shooting less than 30 percent over He HOME-TEAM-TOV VIS-STREAK-COUNT games , He finally got things turned around and exploded for a new season - high in points . ","['HOME-TEAM-TOV', 'VIS-TEAM-STANDING', 'VIS-STREAK-COUNT']"
"The HOME-TEAM-NAME held a VIS-TEAM-FG3M - point lead early in the 2 half , but The VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) defeated the HOME-TEAM-PLACE HOME-TEAM-NAME slowly worked The VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) defeated the HOME-TEAM-PLACE HOME-TEAM-NAME way back and ultimately took the lead for good with VIS-LEADER_FIRST_NAME VIS-LEADER_SECOND_NAME leading the way . ","['HOME-TEAM-NAME', 'VIS-TEAM-FG3M', 'VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-PTS_QTR4', 'VIS-TEAM-WINS', 'HOME-TEAM-FG_PCT', 'VIS-TEAM-LOSSES', 'HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-PTS_QTR4', 'VIS-TEAM-WINS', 'HOME-TEAM-FG_PCT', 'VIS-TEAM-LOSSES', 'HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'VIS-LEADER_FIRST_NAME', 'VIS-LEADER_SECOND_NAME']"
"By losing HOME-TEAM-FTM of their previous VIS-TEAM-STANDING games , their are destined for the the NBA lottery . ","['HOME-TEAM-FG3M', 'HOME-TEAM-FTM', 'VIS-TEAM-STANDING']"
"VIS-TEAM-PLACE shot a very impressive VIS-TEAM-FG_PCT percent from the field and VIS-TEAM-FG3_PCT percent from 3 , and the victory moves them just 1 game behind both the Bulls and Raptors as them look to make a late push for 3 place in the Eastern_Conference . ","['VIS-TEAM-PLACE', 'VIS-TEAM-FG_PCT', 'VIS-TEAM-FG3_PCT']"
"The VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) were the superior shooters in The game , going VIS-TEAM-FG_PCT percent from the field and VIS-TEAM-FG3_PCT percent from the 3 - point line , while the HOME-TEAM-NAME finished at VIS-TEAM-LOSSES percent from the floor and just HOME-TEAM-FG3_PCT percent from deep . ","['VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-WINS', 'VIS-TEAM-FGM', 'HOME-TEAM-FG_PCT', 'HOME-TEAM-REB', 'VIS-TEAM-LOSSES', 'VIS-TEAM-FG_PCT', 'VIS-TEAM-FG3_PCT', 'HOME-TEAM-NAME', 'VIS-TEAM-FGM', 'HOME-TEAM-FG_PCT', 'HOME-TEAM-REB', 'VIS-TEAM-LOSSES', 'HOME-TEAM-FG3_PCT']"
"Hollis Thompson shot less than VIS-TEAM-LOSSES percent from the field in 3 of Hollis Thompson 15 VIS-TEAM-FG3M games coming into this 1 , so it was a step in the right direction Monday with Hollis Thompson performance . ","['VIS-TEAM-FGM', 'HOME-TEAM-FG_PCT', 'HOME-TEAM-REB', 'VIS-TEAM-LOSSES', 'VIS-TEAM-FG3M']"
"The VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-STREAK-COUNT ) defeated the HOME-TEAM-NAME ( HOME-TEAM-LOSSES - HOME-TEAM-LOSSES ) VIS-TEAM-PTS - HOME-TEAM-PTS on Saturday night for the VIS-TEAM-STANDING time this season shot VIS-TEAM-FG_PCT percent from the field , compared to HOME-TEAM-PLACE ’ s HOME-TEAM-FG_PCT percent . ","['VIS-TEAM-NAME', 'VIS-TEAM-WINS', 'VIS-TEAM-LOSSES', 'VIS-STREAK-COUNT', 'HOME-TEAM-NAME', 'HOME-TEAM-WINS', 'HOME-TEAM-LOSSES', 'HOME-TEAM-WINS', 'HOME-TEAM-LOSSES', 'VIS-TEAM-PTS', 'HOME-TEAM-PTS', 'VIS-TEAM-STANDING', 'VIS-TEAM-FG_PCT', 'HOME-TEAM-PLACE', 'VIS-TEAM-FGM', 'HOME-TEAM-FG_PCT']"
"While The HOME-TEAM-NAME out - shot The VIS-TEAM-PLACE VIS-TEAM-NAME , hitting HOME-TEAM-FG_PCT percent from the field and HOME-TEAM-FG3_PCT percent from behind the 3 - point line , it still was n't enough . ","['HOME-TEAM-NAME', 'VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'HOME-TEAM-FG_PCT', 'HOME-TEAM-FG3_PCT']"
HOME-TEAM-PLACE shot nearly HOME-TEAM-FG_PCT percent from the field and knocked down VIS-TEAM-WINS - of - HOME-TEAM-FG3A 3 - point attempts . ,"['HOME-TEAM-PLACE', 'HOME-TEAM-FG_PCT', 'HOME-TEAM-FG3M', 'VIS-TEAM-WINS', 'HOME-TEAM-FG3A']"
"The HOME-TEAM-PLACE HOME-TEAM-NAME ( HOME-TEAM-LOSSES - HOME-TEAM-LOSSES ) shot HOME-TEAM-FG_PCT percent from the field and HOME-TEAM-FG3_PCT percent from beyond the arc , dissecting the VIS-TEAM-NAME ' defense quite masterfully . ","['HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'VIS-TEAM-TOV', 'HOME-TEAM-WINS', 'HOME-TEAM-LOSSES', 'VIS-TEAM-TOV', 'HOME-TEAM-WINS', 'HOME-TEAM-LOSSES', 'HOME-TEAM-FG_PCT', 'HOME-TEAM-FG3_PCT', 'VIS-TEAM-NAME']"
The HOME-TEAM-PLACE HOME-TEAM-NAME ( HOME-TEAM-LOSSES - HOME-TEAM-LOSSES ) have been wading through a tough stretch of The HOME-TEAM-PLACE HOME-TEAM-NAME ( HOME-TEAM-LOSSES - HOME-TEAM-LOSSES ) schedule that will continue as The HOME-TEAM-PLACE HOME-TEAM-NAME ( HOME-TEAM-LOSSES - HOME-TEAM-LOSSES ) embark on a 4 - game Western_Conference road trip Monday against the Phoenix Suns . ,"['HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'VIS-TEAM-TOV', 'HOME-TEAM-WINS', 'HOME-TEAM-LOSSES', 'VIS-TEAM-TOV', 'HOME-TEAM-WINS', 'HOME-TEAM-LOSSES', 'HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'VIS-TEAM-TOV', 'HOME-TEAM-WINS', 'HOME-TEAM-LOSSES', 'VIS-TEAM-TOV', 'HOME-TEAM-WINS', 'HOME-TEAM-LOSSES', 'HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'VIS-TEAM-TOV', 'HOME-TEAM-WINS', 'HOME-TEAM-LOSSES', 'VIS-TEAM-TOV', 'HOME-TEAM-WINS', 'HOME-TEAM-LOSSES']"
HOME-TEAM-PLACE has dropped 2 straight and 3 of HOME-TEAM-PLACE HOME-TEAM-LOSSES 4 games as HOME-TEAM-PLACE struggle to try and fill the hole of Jabari Parker ( knee ) being out for the rest of the season . ,"['HOME-TEAM-PLACE', 'HOME-TEAM-PLACE', 'HOME-TEAM-FTM', 'HOME-TEAM-LOSSES', 'HOME-TEAM-PLACE']"
