templates,used_attributes
The VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) defeated the HOME-TEAM-PLACE HOME-TEAM-NAME ( HOME-TEAM-WINS - HOME-TEAM-LOSSES ) VIS-TEAM-PTS - HOME-TEAM-PTS on DAYNAME .,"['VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-WINS', 'VIS-TEAM-LOSSES', 'HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'HOME-TEAM-WINS', 'HOME-TEAM-LOSSES', 'VIS-TEAM-PTS', 'HOME-TEAM-PTS', 'DAYNAME']"
VIS-LEADER_FIRST_NAME VIS-LEADER_SECOND_NAME paced The VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) The VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) on DAYNAME .,"['VIS-LEADER_FIRST_NAME', 'VIS-LEADER_SECOND_NAME', 'VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-WINS', 'VIS-TEAM-LOSSES', 'VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-WINS', 'VIS-TEAM-LOSSES', 'DAYNAME']"
The VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) defeated the HOME-TEAM-PLACE HOME-TEAM-NAME ( HOME-TEAM-FG3M - HOME-TEAM-LOSSES ) VIS-TEAM-PTS - HOME-TEAM-PTS on DAYNAME at the STADIUM in HOME-TEAM-PLACE .,"['VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-WINS', 'VIS-TEAM-LOSSES', 'HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'HOME-TEAM-FG3M', 'HOME-TEAM-LOSSES', 'VIS-TEAM-PTS', 'HOME-TEAM-PTS', 'DAYNAME', 'STADIUM', 'HOME-TEAM-PLACE']"
The VIS-TEAM-NAME knocked off the HOME-TEAM-NAME ( HOME-TEAM-WINS - HOME-TEAM-LOSSES ) VIS-TEAM-PTS - HOME-TEAM-PTS in HOME-TEAM-PLACE on DAYNAME night .,"['VIS-TEAM-NAME', 'HOME-TEAM-NAME', 'HOME-TEAM-WINS', 'HOME-TEAM-LOSSES', 'VIS-TEAM-PTS', 'HOME-TEAM-PTS', 'HOME-TEAM-PLACE', 'DAYNAME']"
The VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-FG3M - VIS-TEAM-LOSSES ) defeated the HOME-TEAM-PLACE HOME-TEAM-NAME ( HOME-TEAM-FG3M - HOME-TEAM-LOSSES ) VIS-TEAM-PTS - HOME-TEAM-PTS on DAYNAME at the STADIUM in HOME-TEAM-PLACE .,"['VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-FG3M', 'VIS-TEAM-LOSSES', 'HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'HOME-TEAM-FG3M', 'HOME-TEAM-LOSSES', 'VIS-TEAM-PTS', 'HOME-TEAM-PTS', 'DAYNAME', 'STADIUM', 'HOME-TEAM-PLACE']"
"The VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-FG3M - VIS-TEAM-LOSSES ) The VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-FG3M - VIS-TEAM-LOSSES ) also out - rebounded the HOME-TEAM-NAME VIS-TEAM-REB - HOME-TEAM-REB , even furthering The VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-FG3M - VIS-TEAM-LOSSES ) advantage in The VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-FG3M - VIS-TEAM-LOSSES ) .","['VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-FG3M', 'VIS-TEAM-LOSSES', 'VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-FG3M', 'VIS-TEAM-LOSSES', 'HOME-TEAM-NAME', 'VIS-TEAM-REB', 'HOME-TEAM-REB', 'VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-FG3M', 'VIS-TEAM-LOSSES', 'VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-FG3M', 'VIS-TEAM-LOSSES']"
"For The VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-FG3M - VIS-TEAM-LOSSES ) , VIS-LEADER_FIRST_NAME VIS-LEADER_SECOND_NAME came out firing DAYNAME , scoring 27 points ( HOME-TEAM-FG3M - HOME-TEAM-PTS_QTR2 FG , VIS-STREAK-COUNT - VIS-TEAM-FG3M 3Pt , 9 - 10 FT ) , while also recording VIS-TEAM-TOV rebounds and 4 assists .","['VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-FG3M', 'VIS-TEAM-LOSSES', 'VIS-LEADER_FIRST_NAME', 'VIS-LEADER_SECOND_NAME', 'DAYNAME', 'HOME-TEAM-FG3M', 'HOME-TEAM-PTS_QTR2', 'VIS-STREAK-COUNT', 'VIS-TEAM-FG3M', 'VIS-TEAM-TOV']"
The HOME-TEAM-PLACE HOME-TEAM-NAME ( VIS-TEAM-TOV - HOME-TEAM-LOSSES ) defeated the VIS-TEAM-PLACE VIS-TEAM-NAME ( HOME-TEAM-FTM - HOME-TEAM-PTS_QTR3 ) HOME-TEAM-PTS - VIS-TEAM-PTS on DAYNAME at the STADIUM .,"['HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'VIS-TEAM-TOV', 'HOME-TEAM-LOSSES', 'VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'HOME-TEAM-FTM', 'HOME-TEAM-PTS_QTR3', 'HOME-TEAM-PTS', 'VIS-TEAM-PTS', 'DAYNAME', 'STADIUM']"
The VIS-TEAM-NAME ( VIS-TEAM-FG3A - VIS-TEAM-LOSSES ) knocked off the HOME-TEAM-NAME ( HOME-TEAM-WINS - HOME-TEAM-LOSSES ) VIS-TEAM-PTS - HOME-TEAM-PTS behind 30 points and 4 assists from VIS-LEADER_FIRST_NAME VIS-LEADER_SECOND_NAME .,"['VIS-TEAM-NAME', 'VIS-TEAM-FG3A', 'VIS-TEAM-LOSSES', 'HOME-TEAM-NAME', 'HOME-TEAM-WINS', 'HOME-TEAM-LOSSES', 'VIS-TEAM-PTS', 'HOME-TEAM-PTS', 'VIS-LEADER_FIRST_NAME', 'VIS-LEADER_SECOND_NAME']"
"The VIS-TEAM-NAME ( VIS-TEAM-FG3A - VIS-TEAM-LOSSES ) had only HOME-STREAK-COUNT starter in double - figures , as C.J .","['VIS-TEAM-NAME', 'VIS-TEAM-FG3A', 'VIS-TEAM-LOSSES', 'HOME-STREAK-COUNT']"
The VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - HOME-TEAM-PTS_QTR1 ) defeated the HOME-TEAM-PLACE HOME-TEAM-NAME ( HOME-TEAM-FTM - HOME-TEAM-LOSSES ) VIS-TEAM-PTS - HOME-TEAM-PTS on DAYNAME at the STADIUM in HOME-TEAM-PLACE .,"['VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-WINS', 'HOME-TEAM-PTS_QTR1', 'HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'HOME-TEAM-FTM', 'HOME-TEAM-LOSSES', 'VIS-TEAM-PTS', 'HOME-TEAM-PTS', 'DAYNAME', 'STADIUM', 'HOME-TEAM-PLACE']"
The VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - HOME-TEAM-PTS_QTR1 ) also got a huge boost from The VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - HOME-TEAM-PTS_QTR1 ) bench though .,"['VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-WINS', 'HOME-TEAM-PTS_QTR1', 'VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-WINS', 'HOME-TEAM-PTS_QTR1']"
